nr;kurs;age;sex;finished;fac;uni;fau_start;fau_nov;next_courses;ae
1;1;31;1;1;5;1;1;1;0;60
2;1;40;2;1;1;1;1;2;0;60
3;1;29;2;1;1;1;1;1;0;60
4;1;28;2;1;1;1;1;1;0;60
5;1;42;1;1;1;1;1;1;0;60
6;1;26;1;1;7;1;1;2;0;60
7;1;28;1;1;1;1;1;1;0;60
8;1;25;1;1;3;1;1;1;0;60
9;1;32;1;2;4;1;1;1;0;60
10;1;44;1;1;4;1;1;2;0;60
11;1;32;1;1;4;1;1;1;0;60
12;1;51;2;1;1;1;1;2;0;60
13;2;29;1;1;2;1;1;2;0;60
14;2;27;2;1;4;1;1;1;7;120
15;2;29;1;1;4;1;1;2;0;60
16;2;28;1;1;4;1;1;2;0;60
17;2;33;2;2;3;1;1;2;0;4
18;2;37;1;1;5;1;1;1;0;60
19;2;38;2;1;5;1;1;1;0;60
20;2;31;2;2;1;1;1;1;0;0
21;2;28;1;1;1;1;1;1;19;325
22;2;24;2;1;3;1;1;2;14;200
23;2;27;1;1;4;1;1;1;0;60
24;2;30;1;1;4;1;1;2;7;132
25;2;38;1;1;5;1;1;1;2;76
26;2;27;1;1;3;1;1;1;7;120
27;3;36;1;1;6;1;1;1;7;121
28;3;29;1;1;4;1;1;1;6;202
29;3;40;1;1;5;1;1;1;0;60
30;3;39;1;1;1;1;1;1;0;60
31;3;33;1;1;5;1;1;1;0;60
32;3;46;2;1;4;1;1;1;0;60
33;3;39;2;1;4;1;1;1;0;60
34;3;34;1;1;4;1;1;1;3;86
35;3;33;2;1;5;1;1;2;0;60
36;3;43;1;1;4;1;1;1;1;64
37;3;37;1;1;4;1;1;1;0;60
38;3;36;1;2;5;1;1;1;0;48
39;3;48;2;2;1;1;1;1;0;40
40;4;34;1;1;5;1;1;1;0;60
41;4;37;1;1;3;1;1;1;2;60
42;4;32;2;1;6;2;2;3;4;102
43;4;33;1;1;1;1;1;1;0;60
44;4;52;1;1;5;1;1;2;0;60
45;4;36;1;2;4;1;1;1;1;58
46;4;37;1;2;7;6;3;3;0;34
47;4;40;2;2;5;1;1;1;0;52
48;4;33;2;1;5;1;1;1;0;60
49;4;31;1;1;3;1;1;1;1;60
50;4;38;2;2;5;1;1;1;1;114
51;4;35;1;2;6;1;1;1;0;42
52;5;36;2;1;5;1;1;1;0;60
53;5;33;2;1;5;1;1;1;1;68
54;5;40;1;1;5;1;1;1;0;60
55;5;38;2;1;5;1;1;1;1;68
56;5;43;2;1;3;1;1;1;7;123
57;5;32;1;1;4;1;1;1;1;60
58;5;36;2;1;1;3;2;3;5;102
59;5;33;2;1;5;1;1;1;1;60
60;5;25;2;1;3;1;1;1;1;68
61;5;50;1;1;5;1;1;1;0;60
62;5;28;1;1;4;1;1;1;7;126
63;5;35;2;1;4;1;1;2;10;121
64;6;42;1;1;5;1;1;1;0;60
65;6;38;2;1;5;1;1;1;0;60
66;6;37;2;1;1;1;1;1;0;60
67;6;36;2;1;2;1;1;1;0;60
68;6;30;2;1;5;1;1;1;0;60
69;6;48;2;2;6;1;1;1;1;61
70;6;36;1;1;5;1;1;1;0;60
71;6;32;1;2;3;1;1;1;2;26
72;6;29;1;1;4;1;1;1;4;108
73;6;28;1;1;4;1;1;1;0;60
74;6;42;1;1;1;1;1;1;1;66
75;6;47;2;1;6;1;1;1;13;170
76;7;27;2;1;1;1;1;1;5;95
77;7;32;2;1;3;1;1;1;0;60
78;7;29;2;1;1;1;1;1;0;60
79;7;42;2;1;1;3;2;3;2;75
80;7;39;1;2;2;1;1;1;1;45
81;7;39;2;1;1;1;1;1;4;94
82;7;37;2;1;3;1;1;1;7;126
83;7;38;1;2;2;1;1;1;0;50
84;7;37;2;1;5;1;1;1;7;128
85;7;26;2;1;3;4;2;3;0;60
86;7;48;2;2;6;3;2;3;2;49
87;7;28;2;1;3;1;1;1;3;87
88;8;43;2;1;5;1;1;1;0;8
89;8;34;1;1;5;1;1;1;0;0
90;8;38;1;1;1;1;1;1;0;0
91;8;26;1;1;1;1;1;1;0;0
92;8;28;1;1;4;1;1;1;0;0
93;8;26;2;1;4;1;1;1;0;0
94;8;27;2;1;4;1;1;1;0;0
95;8;31;1;1;4;1;1;1;0;0
96;8;26;2;1;2;5;2;3;1;6
97;8;25;1;1;1;1;1;1;0;0
98;8;23;1;1;3;1;1;1;1;8
99;8;34;2;2;1;1;1;1;0;0
